protein_id,locus_tag
ARI79292.1,BH695_0009
ARI79293.1,BH695_0010
ARI79294.1,BH695_0011
ARI79295.1,BH695_0012
ARI79296.1,BH695_0013
ARI79297.1,BH695_0014
ARI79298.1,BH695_0015
ARI79299.1,BH695_0016
ARI79300.1,BH695_0017
ARI79301.1,BH695_0018
ARI79302.1,BH695_0019
ARI79303.1,BH695_0020
ARI79304.1,BH695_0021
ARI79305.1,BH695_0022
ARI79306.1,BH695_0023
ARI79307.1,BH695_0024
ARI79308.1,BH695_0025
ARI79309.1,BH695_0026
ARI79310.1,BH695_0027
ARI79311.1,BH695_0028
ARI79312.1,BH695_0029
ARI79313.1,BH695_0030
ARI79314.1,BH695_0031
ARI79315.1,BH695_0032
ARI79316.1,BH695_0033
ARI79317.1,BH695_0034
ARI79318.1,BH695_0035
ARI79319.1,BH695_0036
ARI79320.1,BH695_0037
ARI79321.1,BH695_0038
ARI79322.1,BH695_0039
ARI79323.1,BH695_0040
ARI79324.1,BH695_0041
ARI79325.1,BH695_0042
ARI79326.1,BH695_0043
ARI79327.1,BH695_0044
ARI79328.1,BH695_0045
ARI79329.1,BH695_0046
ARI79330.1,BH695_0047
ARI79331.1,BH695_0048
ARI79332.1,BH695_0049
ARI79333.1,BH695_0050
ARI79334.1,BH695_0051
ARI79335.1,BH695_0052
ARI79336.1,BH695_0053
ARI79337.1,BH695_0054
ARI79338.1,BH695_0055
ARI79339.1,BH695_0056
ARI79340.1,BH695_0057
ARI79341.1,BH695_0058
ARI79342.1,BH695_0059
ARI79343.1,BH695_0060
ARI79344.1,BH695_0061
ARI79345.1,BH695_0062
ARI79346.1,BH695_0063
ARI79347.1,BH695_0064
ARI79348.1,BH695_0065
ARI79349.1,BH695_0066
ARI79350.1,BH695_0067
ARI79351.1,BH695_0068
ARI79352.1,BH695_0069
ARI79353.1,BH695_0070
ARI79354.1,BH695_0071
ARI79355.1,BH695_0072
ARI79356.1,BH695_0073
ARI79357.1,BH695_0074
ARI79358.1,BH695_0075
ARI79359.1,BH695_0076
ARI79360.1,BH695_0077
ARI79361.1,BH695_0078
ARI79362.1,BH695_0079
ARI79363.1,BH695_0080
ARI79364.1,BH695_0081
ARI79365.1,BH695_0082
ARI79366.1,BH695_0083
ARI79367.1,BH695_0084
ARI79368.1,BH695_0085
ARI79369.1,BH695_0086
ARI79370.1,BH695_0087
ARI79371.1,BH695_0088
ARI79372.1,BH695_0089
ARI79373.1,BH695_0090
ARI79374.1,BH695_0091
ARI79375.1,BH695_0092
ARI79376.1,BH695_0093
ARI79377.1,BH695_0094
ARI79378.1,BH695_0095
ARI79379.1,BH695_0096
ARI79380.1,BH695_0097
ARI79381.1,BH695_0098
ARI79382.1,BH695_0099
ARI79383.1,BH695_0100
ARI79384.1,BH695_0101
ARI79385.1,BH695_0102
ARI79386.1,BH695_0103
ARI79387.1,BH695_0104
ARI79388.1,BH695_0105
ARI79389.1,BH695_0106
ARI79390.1,BH695_0107
ARI79391.1,BH695_0108
ARI79392.1,BH695_0109
ARI79393.1,BH695_0110
ARI79394.1,BH695_0111
ARI79395.1,BH695_0112
ARI79396.1,BH695_0113
ARI79397.1,BH695_0114
ARI79398.1,BH695_0115
ARI79399.1,BH695_0116
ARI79400.1,BH695_0117
ARI79401.1,BH695_0118
ARI79402.1,BH695_0119
ARI79403.1,BH695_0120
ARI79404.1,BH695_0121
ARI79405.1,BH695_0122
ARI79406.1,BH695_0123
ARI79407.1,BH695_0124
ARI79408.1,BH695_0125
ARI79409.1,BH695_0126
ARI79410.1,BH695_0127
ARI79411.1,BH695_0128
ARI79412.1,BH695_0129
ARI79413.1,BH695_0130
ARI79414.1,BH695_0131
ARI79415.1,BH695_0132
ARI79416.1,BH695_0133
ARI79417.1,BH695_0134
ARI79418.1,BH695_0135
ARI79419.1,BH695_0136
ARI79420.1,BH695_0137
ARI79421.1,BH695_0138
ARI79422.1,BH695_0139
ARI79423.1,BH695_0140
ARI79424.1,BH695_0141
ARI79425.1,BH695_0142
ARI79426.1,BH695_0143
ARI79427.1,BH695_0144
ARI79428.1,BH695_0145
ARI79429.1,BH695_0146
ARI79430.1,BH695_0147
ARI79431.1,BH695_0148
ARI79432.1,BH695_0149
ARI79433.1,BH695_0150
ARI79434.1,BH695_0151
ARI79435.1,BH695_0152
ARI79436.1,BH695_0153
ARI79437.1,BH695_0154
ARI79438.1,BH695_0155
ARI79439.1,BH695_0156
ARI79440.1,BH695_0157
ARI79441.1,BH695_0158
ARI79442.1,BH695_0159
ARI79443.1,BH695_0160
ARI79444.1,BH695_0161
ARI79445.1,BH695_0162
ARI79446.1,BH695_0163
ARI79447.1,BH695_0166
ARI79448.1,BH695_0167
ARI79449.1,BH695_0168
ARI79450.1,BH695_0169
ARI79451.1,BH695_0170
ARI79452.1,BH695_0171
ARI79453.1,BH695_0172
ARI79454.1,BH695_0173
ARI79455.1,BH695_0174
ARI79456.1,BH695_0175
ARI79457.1,BH695_0176
ARI79458.1,BH695_0177
ARI79459.1,BH695_0178
ARI79460.1,BH695_0179
ARI79461.1,BH695_0180
ARI79462.1,BH695_0181
ARI79463.1,BH695_0182
ARI79464.1,BH695_0183
ARI79465.1,BH695_0184
ARI79466.1,BH695_0185
ARI79467.1,BH695_0186
ARI79468.1,BH695_0187
ARI79469.1,BH695_0188
ARI79470.1,BH695_0189
ARI79471.1,BH695_0190
ARI79472.1,BH695_0191
ARI79473.1,BH695_0192
ARI79474.1,BH695_0193
ARI79475.1,BH695_0194
ARI79476.1,BH695_0195
ARI79477.1,BH695_0196
ARI79478.1,BH695_0197
ARI79479.1,BH695_0198
ARI79480.1,BH695_0199
ARI79481.1,BH695_0200
ARI79482.1,BH695_0201
ARI79483.1,BH695_0202
ARI79484.1,BH695_0203
ARI79485.1,BH695_0204
ARI79486.1,BH695_0205
ARI79487.1,BH695_0206
ARI79488.1,BH695_0207
ARI79489.1,BH695_0208
ARI79490.1,BH695_0209
ARI79491.1,BH695_0210
ARI79492.1,BH695_0211
ARI79493.1,BH695_0212
ARI79494.1,BH695_0213
ARI79495.1,BH695_0214
ARI79496.1,BH695_0215
ARI79497.1,BH695_0216
ARI79498.1,BH695_0217
ARI79499.1,BH695_0218
ARI79500.1,BH695_0219
ARI79501.1,BH695_0220
ARI79503.1,BH695_0222
ARI79502.1,BH695_0221
ARI79504.1,BH695_0223
ARI79505.1,BH695_0224
ARI79506.1,BH695_0225
ARI79507.1,BH695_0226
ARI79508.1,BH695_0227
ARI79509.1,BH695_0228
ARI79510.1,BH695_0229
ARI79511.1,BH695_0230
ARI79512.1,BH695_0231
ARI79513.1,BH695_0232
ARI79514.1,BH695_0233
ARI79515.1,BH695_0234
ARI79516.1,BH695_0235
ARI79517.1,BH695_0236
ARI79518.1,BH695_0237
ARI79519.1,BH695_0238
ARI79520.1,BH695_0239
ARI79521.1,BH695_0240
ARI79522.1,BH695_0241
ARI79523.1,BH695_0242
ARI79524.1,BH695_0243
ARI79525.1,BH695_0244
ARI79526.1,BH695_0245
ARI79527.1,BH695_0246
ARI79528.1,BH695_0247
ARI79529.1,BH695_0248
ARI79530.1,BH695_0249
ARI79531.1,BH695_0250
ARI79532.1,BH695_0251
ARI79533.1,BH695_0252
ARI79534.1,BH695_0253
ARI79535.1,BH695_0254
ARI79536.1,BH695_0255
ARI79537.1,BH695_0256
ARI79538.1,BH695_0257
ARI79539.1,BH695_0258
ARI79540.1,BH695_0259
ARI79541.1,BH695_0260
ARI79542.1,BH695_0261
ARI79543.1,BH695_0262
ARI79544.1,BH695_0263
ARI79545.1,BH695_0264
ARI79546.1,BH695_0265
ARI79547.1,BH695_0266
ARI79548.1,BH695_0267
ARI79549.1,BH695_0268
ARI79550.1,BH695_0269
ARI79551.1,BH695_0270
ARI79552.1,BH695_0271
ARI79553.1,BH695_0272
ARI79554.1,BH695_0273
ARI79555.1,BH695_0274
ARI79556.1,BH695_0275
ARI79557.1,BH695_0276
ARI79558.1,BH695_0277
ARI79559.1,BH695_0278
ARI79560.1,BH695_0279
ARI79561.1,BH695_0280
ARI79562.1,BH695_0281
ARI79563.1,BH695_0282
ARI79564.1,BH695_0283
ARI79565.1,BH695_0284
ARI79566.1,BH695_0285
ARI79567.1,BH695_0286
ARI79568.1,BH695_0287
ARI79569.1,BH695_0288
ARI79570.1,BH695_0289
ARI79571.1,BH695_0290
ARI79572.1,BH695_0291
ARI79573.1,BH695_0292
ARI79574.1,BH695_0293
ARI79575.1,BH695_0294
ARI79576.1,BH695_0295
ARI79577.1,BH695_0296
ARI79578.1,BH695_0297
ARI79579.1,BH695_0298
ARI79580.1,BH695_0299
ARI79581.1,BH695_0300
ARI79582.1,BH695_0301
ARI79583.1,BH695_0302
ARI79584.1,BH695_0303
ARI79585.1,BH695_0304
ARI79586.1,BH695_0305
ARI79587.1,BH695_0306
ARI79588.1,BH695_0307
ARI79589.1,BH695_0308
ARI79590.1,BH695_0309
ARI79591.1,BH695_0310
ARI79592.1,BH695_0311
ARI79593.1,BH695_0312
ARI79594.1,BH695_0313
ARI79595.1,BH695_0314
ARI79596.1,BH695_0315
ARI79597.1,BH695_0316
ARI79598.1,BH695_0317
ARI79599.1,BH695_0318
ARI79600.1,BH695_0319
ARI79601.1,BH695_0320
ARI79602.1,BH695_0321
ARI79603.1,BH695_0322
ARI79604.1,BH695_0323
ARI79605.1,BH695_0324
ARI79606.1,BH695_0325
ARI79607.1,BH695_0326
ARI79608.1,BH695_0327
ARI79609.1,BH695_0328
ARI79610.1,BH695_0329
ARI79611.1,BH695_0330
ARI79612.1,BH695_0331
ARI79613.1,BH695_0332
ARI79614.1,BH695_0333
ARI79615.1,BH695_0334
ARI79616.1,BH695_0335
ARI79617.1,BH695_0336
ARI79618.1,BH695_0337
ARI79619.1,BH695_0338
ARI79620.1,BH695_0339
ARI79621.1,BH695_0340
ARI79622.1,BH695_0341
ARI79623.1,BH695_0342
ARI79624.1,BH695_0343
ARI79625.1,BH695_0344
ARI79626.1,BH695_0345
ARI79627.1,BH695_0346
ARI79628.1,BH695_0347
ARI79629.1,BH695_0348
ARI79630.1,BH695_0349
ARI79631.1,BH695_0350
ARI79632.1,BH695_0351
ARI79633.1,BH695_0352
ARI79634.1,BH695_0353
ARI79635.1,BH695_0354
ARI79636.1,BH695_0355
ARI79637.1,BH695_0356
ARI79638.1,BH695_0357
ARI79639.1,BH695_0358
ARI79640.1,BH695_0359
ARI79641.1,BH695_0360
ARI79642.1,BH695_0361
ARI79643.1,BH695_0362
ARI79644.1,BH695_0363
ARI79645.1,BH695_0364
ARI79646.1,BH695_0365
ARI79647.1,BH695_0366
ARI79648.1,BH695_0367
ARI79649.1,BH695_0368
ARI79650.1,BH695_0369
ARI79651.1,BH695_0370
ARI79652.1,BH695_0371
ARI79653.1,BH695_0372
ARI79654.1,BH695_0373
ARI79655.1,BH695_0374
ARI79656.1,BH695_0375
ARI79657.1,BH695_0376
ARI79658.1,BH695_0377
ARI79659.1,BH695_0378
ARI79660.1,BH695_0379
ARI79661.1,BH695_0380
ARI79662.1,BH695_0381
ARI79663.1,BH695_0382
ARI79664.1,BH695_0383
ARI79665.1,BH695_0384
ARI79666.1,BH695_0385
ARI79667.1,BH695_0386
ARI79668.1,BH695_0387
ARI79669.1,BH695_0388
ARI79670.1,BH695_0389
ARI79671.1,BH695_0390
ARI79672.1,BH695_0391
ARI79673.1,BH695_0392
ARI79674.1,BH695_0393
ARI79675.1,BH695_0394
ARI79676.1,BH695_0395
ARI79677.1,BH695_0396
ARI79678.1,BH695_0397
ARI79679.1,BH695_0398
ARI79680.1,BH695_0399
ARI79681.1,BH695_0400
ARI79682.1,BH695_0401
ARI79683.1,BH695_0402
ARI79684.1,BH695_0403
ARI79685.1,BH695_0404
